Ticker,Type,Exchange,Expiration,Multiplier,Base Currency,Symbol,Quote Currency,Conid
KRWUSD,CASH,IDEALPRO,,,KRW,,USD,27717934
EURGBP,CASH,IDEALPRO,,,EUR,,GBP,12087807
USDCAD,CASH,IDEALPRO,,,USD,,CAD,15016062
EURUSD,CASH,IDEALPRO,,,EUR,,USD,12087792
NZDUSD,CASH,IDEALPRO,,,NZD,,USD,39453441
USDCNH,CASH,IDEALPRO,,,USD,,CNH,113342317
USDHKD,CASH,IDEALPRO,,,USD,,HKD,12345777
USDMXN,CASH,IDEALPRO,,,USD,,MXN,35045199
USDCHF,CASH,IDEALPRO,,,USD,,CHF,12087820
AUDUSD,CASH,IDEALPRO,,,AUD,,USD,14433401
GBPUSD,CASH,IDEALPRO,,,GBP,,USD,12087797
USDJPY,CASH,IDEALPRO,,,USD,,JPY,15016059
USDSEK,CASH,IDEALPRO,,,USD,,SEK,37893486
