Ticker,Type,Exchange,Expiration,Multiplier,Base Currency,Symbol,Quote Currency,Conid
XLF,STK,SMART,,,USD,,,4215220
XLE,STK,SMART,,,USD,,,4215217
XLK,STK,SMART,,,USD,,,4215230
XLC,STK,SMART,,,USD,,,322317077
XRT,STK,SMART,,,USD,,,45540784
XLI,STK,SMART,,,USD,,,4215227
XLY,STK,SMART,,,USD,,,4215215
XLRE,STK,SMART,,,USD,,,209048377
XLV,STK,SMART,,,USD,,,4215205
XLB,STK,SMART,,,USD,,,4215200
XLU,STK,SMART,,,USD,,,4215235
XLP,STK,SMART,,,USD,,,4215210
IWB,STK,SMART,,,USD,,,8991549
IWM,STK,SMART,,,USD,,,9579970
IWO,STK,SMART,,,USD,,,10435402
IWF,STK,SMART,,,USD,,,8991557
SPY,STK,SMART,,,USD,,,756733
SPHB,STK,SMART,,,USD,,,319357119
SPLV,STK,SMART,,,USD,,,319357142
SPHQ,STK,SMART,,,USD,,,319359474
IWD,STK,SMART,,,USD,,,8991562
ITB,STK,SMART,,,USD,,,39046954
USMV,STK,SMART,,,USD,,,96079929
QQQ,STK,SMART,,,USD,,,320227571
PSP,STK,SMART,,,USD,,,319357046
MTUM,STK,SMART,,,USD,,,125903832
